sample_id,target_stack_compatible,record_count,welding_time_ms,nominal_inclusive_count_at_10hz,count_gap_from_nominal_hypothesis,record_index_strictly_increasing,invalid_current_count,invalid_force_count,current_mean_a,current_rms_a,current_jensen_ratio,force_min_stored,force_mean_positive_stored,force_max_stored
113,True,9,800.0,9,0,True,0,0,2708.15,2808.859853493347,1.0757583125752692,115.65,115.7888888888889,115.92
114,True,9,800.0,9,0,True,0,0,2650.3122222222223,2721.364087411965,1.05433644726988,115.92,115.95666666666665,115.99
116,True,9,800.0,9,0,True,0,0,2728.2255555555557,2796.5190687690456,1.0506910301694772,115.97,116.01333333333332,116.04
117,False,8,800.0,9,-1,True,0,0,2659.6724999999997,2785.4620642318932,1.0968270952967347,115.98,116.00500000000001,116.03
118,True,8,800.0,9,-1,True,0,0,2684.92375,2796.784517367668,1.0850608660450674,115.91,115.92875,115.95
119,True,9,800.0,9,0,True,0,0,2798.0266666666666,2865.1753256805923,1.0485730861414893,115.84,115.88444444444445,115.91
122,True,8,800.0,9,-1,True,0,0,2959.3,3012.6879598831674,1.0364069469244945,114.15,114.7175,115.21
123,False,8,800.0,9,-1,True,0,0,3139.955,3194.9341738054636,1.0353256679669798,112.38,113.19125,114.04
125,True,9,800.0,9,0,True,0,0,2926.7855555555557,3009.038339172685,1.056996712399817,112.75,113.65888888888888,114.64
127,True,9,800.0,9,0,True,0,0,2887.1044444444447,2961.5392924738762,1.0522283713211955,113.81,113.84333333333335,113.87
128,True,9,800.0,9,0,True,0,0,2954.9744444444445,3056.9253522143963,1.0701932533595069,114.05,114.58999999999999,115.0
129,True,8,800.0,9,-1,True,0,0,2741.84125,2830.6337955107333,1.065817294629225,114.76,114.84,115.0
130,True,9,800.0,9,0,True,0,0,2923.207777777778,3001.789434122772,1.0544866312890067,114.32,114.49111111111112,114.68
132,True,8,800.0,9,-1,True,0,0,2700.3637499999995,2798.3212745657884,1.073867279807325,114.38,114.425,114.45
133,True,9,800.0,9,0,True,0,0,2774.9777777777776,2855.8910697791757,1.0591665523854052,114.42,114.57111111111112,114.68
135,True,9,800.0,9,0,True,0,0,2845.8755555555554,2912.0809487871193,1.0470684545255424,114.26,114.41666666666667,114.64
136,True,7,600.0,7,0,True,0,0,3094.1771428571424,3145.436932310495,1.0334075171381782,103.78,104.18285714285715,104.76
137,True,7,600.0,7,0,True,0,0,3171.5414285714287,3208.545790721576,1.023471387358105,104.4,104.99285714285713,105.32
138,True,7,600.0,7,0,True,0,0,3262.472857142857,3317.284072212861,1.0338832816297592,103.95,104.3,104.74
140,True,7,600.0,7,0,True,0,0,3024.528571428571,3092.41878403113,1.0453969346240728,104.19,104.23142857142857,104.3
141,True,6,600.0,7,-1,True,0,0,2790.066666666666,2842.710193518385,1.0380924023773985,104.47,104.795,105.0
142,True,7,600.0,7,0,True,0,0,2854.504285714286,2897.569783064521,1.0304013268172916,105.04,105.5457142857143,106.11
143,True,7,600.0,7,0,True,0,0,2782.8685714285716,2844.1635679806764,1.044536801950852,106.3,107.01571428571427,107.55
144,True,6,600.0,7,-1,True,0,0,2538.27,2612.6592626287875,1.0594730492667381,107.66,107.84500000000001,107.98
145,True,7,600.0,7,0,True,0,0,2466.285714285714,2523.648519527687,1.047058537814282,107.75,107.77571428571426,107.81
146,True,7,600.0,7,0,True,0,0,2665.5957142857146,2696.4897681271264,1.023314175930789,107.65,107.67571428571428,107.73
147,True,7,600.0,7,0,True,0,0,2847.7,2883.28842918736,1.025150688626219,107.67,107.80285714285715,107.91
149,True,7,600.0,7,0,True,0,0,2440.434285714286,2518.775736741959,1.0652333792620172,107.57,107.72857142857144,107.84
150,True,6,600.0,7,-1,True,0,0,2849.295,2899.6180761064606,1.0356351089236073,107.53,107.59333333333335,107.7
151,True,7,600.0,7,0,True,0,0,2749.8414285714284,2788.589257556075,1.0283804186625036,107.67,107.70142857142858,107.74
152,True,7,600.0,7,0,True,0,0,2946.8171428571427,2987.256858667688,1.0276346951171182,107.67,107.70857142857142,107.74
153,True,7,600.0,7,0,True,0,0,2645.5485714285714,2700.220682134809,1.0417584692997388,107.37,107.43571428571428,107.61
154,True,6,600.0,7,-1,True,0,0,2521.298333333333,2570.850215787895,1.0396928925778306,107.24,107.28166666666668,107.34
157,True,7,600.0,7,0,True,0,0,2449.3328571428574,2539.0852700107794,1.0746299867582756,107.52,107.69142857142857,107.87
158,True,6,600.0,7,-1,True,0,0,2966.645,2988.228921348452,1.014603997853665,107.77,107.815,107.85
160,True,7,600.0,7,0,True,0,0,2755.1,2800.1988594332774,1.0330064071608485,107.48,107.55285714285715,107.64
161,False,7,600.0,7,0,True,0,0,2719.4985714285717,2750.9764190737806,1.0232837214957238,107.79,108.03285714285714,108.14
164,True,7,600.0,7,0,True,0,0,2834.5,2908.7436039441004,1.0530717441171986,107.82,107.9342857142857,108.14
166,True,7,600.0,7,0,True,0,0,3559.344285714285,3577.7142966884,1.0103487687145505,108.11,108.21571428571428,108.32
167,True,7,600.0,7,0,True,0,0,3415.0371428571425,3434.1090044310304,1.0112005321274424,107.89,108.17999999999999,108.37
168,True,7,600.0,7,0,True,0,0,3248.7914285714287,3284.1581375923856,1.021890732470562,107.87,107.99,108.17
171,True,7,600.0,7,0,True,0,0,3311.5685714285714,3331.1804325022254,1.0118795269352048,108.26,108.50714285714285,108.7
172,True,7,600.0,7,0,True,0,0,3346.9700000000003,3378.6381314856094,1.0190129873672331,108.09,108.21285714285715,108.29
173,True,7,600.0,7,0,True,0,0,3198.9842857142858,3254.697830391808,1.03513533891037,108.07,108.21,108.36
174,True,6,600.0,7,-1,True,0,0,3278.5966666666664,3300.478580453649,1.0133928859405303,108.42,108.59666666666668,108.7
176,True,7,600.0,7,0,True,0,0,3329.0828571428574,3354.921549497948,1.0155832504234321,108.42,108.45857142857143,108.58
177,True,6,600.0,7,-1,True,0,0,2896.7183333333337,2946.9821098116627,1.035005035681376,108.03,108.12666666666667,108.29
178,True,7,600.0,7,0,True,0,0,3186.5371428571425,3244.64297599245,1.0368020859738116,108.12,108.16285714285713,108.29
179,True,7,600.0,7,0,True,0,0,3164.5085714285715,3214.817716863142,1.0320486103944264,108.1,108.2,108.3
180,True,7,600.0,7,0,True,0,0,2959.0628571428574,2979.846064063425,1.0140964853795702,108.09,108.17285714285715,108.28
181,True,7,600.0,7,0,True,0,0,3000.0914285714284,3045.176869927732,1.0302818863693675,107.82,107.91571428571429,108.11
182,True,7,600.0,7,0,True,0,0,2629.7485714285713,2695.0304897612673,1.050265041401495,107.87,107.9657142857143,108.2
183,True,5,600.0,7,-2,True,0,0,3009.3299999999995,3047.3707063663915,1.0254416372886714,108.14,108.18800000000002,108.32
186,True,5,400.0,5,0,True,0,0,2347.252,2429.7392505534417,1.0715190666830483,91.51,91.886,92.4
187,True,5,400.0,5,0,True,0,0,2253.036,2378.0799661155215,1.114080688604604,91.54,91.688,91.82
188,True,5,400.0,5,0,True,0,0,2420.496,2523.493329121359,1.0869150029179895,91.52,92.0,92.85
189,True,5,400.0,5,0,True,0,0,2453.0299999999997,2558.2865584957444,1.0876587522198342,91.05,91.558,92.03
191,True,5,400.0,5,0,True,0,0,2383.5519999999997,2524.993233543409,1.1222023536837304,91.89,92.018,92.14
193,True,5,400.0,5,0,True,0,0,2228.7059999999997,2323.6480892036984,1.0870140242397472,91.98,92.03,92.09
195,True,5,400.0,5,0,True,0,0,2629.7960000000003,2734.9263825924095,1.0815513916777,91.89,92.012,92.08
196,True,4,400.0,5,-1,True,0,0,2360.0775,2415.2191932772894,1.04727460719504,92.1,92.19500000000001,92.25
198,True,5,400.0,5,0,True,0,0,2752.0299999999997,2832.788727805164,1.0595514338268854,92.08,92.114,92.16
199,True,5,400.0,5,0,True,0,0,2740.452,2831.574427706254,1.0676073712996335,91.8,91.87400000000001,91.96
201,True,5,400.0,5,0,True,0,0,2889.766,2928.794801849389,1.0271941470675339,91.97,92.14000000000001,92.24
203,True,5,400.0,5,0,True,0,0,2667.006,2719.15834575701,1.039491666659114,92.66,92.68199999999999,92.71
204,True,5,400.0,5,0,True,0,0,2681.7799999999997,2760.4620491287324,1.0595397792532115,92.77,92.928,93.01
205,True,5,400.0,5,0,True,0,0,2627.368,2679.653890479142,1.0401969938730644,92.92,93.054,93.15
207,True,5,400.0,5,0,True,0,0,2571.036,2664.8490586447856,1.0743082586957196,93.42,93.50200000000001,93.59
